Time,Year,Month,Data01_15_,CPI_toPM,CPI_rate
1,2015,1,100,100,0
2,2015,2,100.1,100.1,0.1
3,2015,3,100.2,100.0999001,0.0999001
4,2015,4,99.5,99.30139721,-0.698602794
5,2015,5,98.9,99.39698492,-0.603015075
6,2015,6,99.5,100.6066734,0.606673407
7,2015,7,98.9,99.39698492,-0.603015075
8,2015,8,99.6,100.7077856,0.707785642
9,2015,9,99.6,100,0
10,2015,10,99.3,99.69879518,-0.301204819
11,2015,11,100.2,100.9063444,0.906344411
12,2015,12,100.1,99.9001996,-0.099800399
13,2016,1,100.3,100.3,0.3
14,2016,2,100.8,100.4985045,0.498504487
15,2016,3,100.3,99.50396825,-0.496031746
16,2016,4,101.4,101.0967099,1.09670987
17,2016,5,101,99.60552268,-0.394477318
18,2016,6,100,99.00990099,-0.99009901
19,2016,7,99,99,-1
20,2016,8,98.6,99.5959596,-0.404040404
21,2016,9,100.4,101.8255578,1.825557809
22,2016,10,100.5,100.0996016,0.099601594
23,2016,11,100.9,100.39801,0.39800995
24,2016,12,100.5,99.60356789,-0.396432111
25,2017,1,101.1,101.1,1.1
26,2017,2,100.7,99.60435213,-0.395647873
27,2017,3,100.1,99.4041708,-0.595829196
28,2017,4,100.1,100,0
29,2017,5,100,99.9000999,-0.0999001
30,2017,6,99.2,99.2,-0.8
31,2017,7,99.6,100.4032258,0.403225806
32,2017,8,100.3,100.7028112,0.702811245
33,2017,9,100.2,99.9002991,-0.099700897
34,2017,10,100.3,100.0998004,0.099800399
35,2017,11,102.6,102.2931206,2.293120638
36,2017,12,101.1,98.5380117,-1.461988304
37,2018,1,100.6,100.6,0.6
38,2018,2,101.3,100.695825,0.69582505
39,2018,3,100.3,99.01283317,-0.987166831
40,2018,4,100.4,100.0997009,0.099700897
41,2018,5,99.7,99.30278884,-0.697211155
42,2018,6,99.5,99.79939819,-0.200601805
43,2018,7,96.1,96.58291457,-3.417085427
44,2018,8,99.9,103.9542144,3.95421436
45,2018,9,100.5,100.6006006,0.600600601
46,2018,10,100,99.50248756,-0.497512438
47,2018,11,100.6,100.6,0.6
48,2018,12,100.1,99.50298211,-0.497017893
49,2019,1,100.5,100.5,0.5
50,2019,2,101,100.4975124,0.497512438
51,2019,3,99.4,98.41584158,-1.584158416
52,2019,4,99.8,100.4024145,0.402414487
53,2019,5,99.8,100,0
54,2019,6,100.2,100.4008016,0.400801603
55,2019,7,100,99.8003992,-0.199600798
56,2019,8,100.2,100.2,0.2
57,2019,9,100.4,100.1996008,0.199600798
58,2019,10,99.8,99.40239044,-0.597609562
59,2019,11,100.1,100.3006012,0.300601202
60,2019,12,100.9,100.7992008,0.799200799
61,2020,1,100.94,100.94,0.94
62,2020,2,100.55,99.61363186,-0.386368139
63,2020,3,100.99,100.4375932,0.437593237
64,2020,4,100.92,99.93068621,-0.069313793
65,2020,5,100.13,99.21720174,-0.782798256
66,2020,6,99.4,99.27094777,-0.729052232
67,2020,7,99.61,100.2112676,0.211267606
68,2020,8,100.58,100.9737978,0.973797811
69,2020,9,100.37,99.79121098,-0.208789024
70,2020,10,99.64,99.27269104,-0.727308957
71,2020,11,100.11,100.4716981,0.471698113
72,2020,12,99.83,99.72030766,-0.279692338
73,2021,1,100.97,100.97,0.97
74,2021,2,101.22,100.2475983,0.247598297
75,2021,3,99.82,98.61687414,-1.383125864
76,2021,4,99.9,100.0801443,0.08014426
77,2021,5,100.09,100.1901902,0.19019019
78,2021,6,99.49,99.40053951,-0.599460486
79,2021,7,99.82,100.3316916,0.331691627
80,2021,8,100.74,100.921659,0.921658986
81,2021,9,100.54,99.80146913,-0.198530872
82,2021,10,100.03,99.49273921,-0.507260792
83,2021,11,100.41,100.379886,0.379886034
84,2021,12,100.16,99.75102081,-0.248979185
85,2022,1,100.25,100.25,0.25
86,2022,2,100.66,100.4089776,0.408977556
87,2022,3,99.9,99.24498311,-0.755016889
88,2022,4,100.1,100.2002002,0.2002002
89,2022,5,100.34,100.2397602,0.23976024
90,2022,6,100.2,99.86047439,-0.139525613
91,2022,7,100.34,100.1397206,0.139720559
92,2022,8,100.2,99.86047439,-0.139525613
93,2022,9,100.16,99.96007984,-0.03992016
94,2022,10,100.06,99.90015974,-0.099840256
95,2022,11,100.18,100.119928,0.119928043
96,2022,12,100.21,100.0299461,0.029946097
,,,,,
,,,,,
,,,,,
