Time,Year,Month,Foodstuff_toDecCPI,CPI_toPM,CPI_rate
1,2015,1,100.5,100.5,0.5
2,2015,2,100.7,100.199005,0.199004975
3,2015,3,100.5,99.80139027,-0.198609732
4,2015,4,99.3,98.80597015,-1.194029851
5,2015,5,99.5,100.2014099,0.201409869
6,2015,6,99.3,99.79899497,-0.201005025
7,2015,7,100.3,101.0070493,1.007049345
8,2015,8,100.6,100.2991027,0.299102692
9,2015,9,100.3,99.70178926,-0.298210736
10,2015,10,100.3,100,0
11,2015,11,99.9,99.60119641,-0.398803589
12,2015,12,99.9,100,0
13,2016,1,100.3,100.3,0.3
14,2016,2,103.3,102.9910269,2.991026919
15,2016,3,99,95.83736689,-4.162633107
16,2016,4,100.2,101.2121212,1.212121212
17,2016,5,100,99.8003992,-0.199600798
18,2016,6,100.1,100.1,0.1
19,2016,7,99.9,99.8001998,-0.1998002
20,2016,8,99.8,99.8998999,-0.1001001
21,2016,9,100.5,100.7014028,0.701402806
22,2016,10,100.4,99.90049751,-0.099502488
23,2016,11,100.6,100.1992032,0.199203187
24,2016,12,99.6,99.00596421,-0.994035785
25,2017,1,99.2,99.2,-0.8
26,2017,2,99.5,100.3024194,0.302419355
27,2017,3,99.4,99.89949749,-0.100502513
28,2017,4,99.5,100.1006036,0.100603622
29,2017,5,97.7,98.19095477,-1.809045226
30,2017,6,98.8,101.1258956,1.125895599
31,2017,7,101.4,102.6315789,2.631578947
32,2017,8,101.8,100.3944773,0.394477318
33,2017,9,100.4,98.62475442,-1.37524558
34,2017,10,100.5,100.0996016,0.099601594
35,2017,11,98.9,98.4079602,-1.592039801
36,2017,12,98.8,99.89888777,-0.101112235
37,2018,1,101.7,101.7,1.7
38,2018,2,102.4,100.6882989,0.688298918
39,2018,3,99.2,96.875,-3.125
40,2018,4,98.7,99.49596774,-0.504032258
41,2018,5,101.1,102.4316109,2.431610942
42,2018,6,102.3,101.1869436,1.18694362
43,2018,7,101.7,99.41348974,-0.586510264
44,2018,8,101.4,99.70501475,-0.294985251
45,2018,9,100.7,99.30966469,-0.690335306
46,2018,10,99.9,99.20556107,-0.794438928
47,2018,11,99.8,99.8998999,-0.1001001
48,2018,12,99.5,99.6993988,-0.300601202
49,2019,1,101.1,101.1,1.1
50,2019,2,102.3,101.1869436,1.18694362
51,2019,3,98.1,95.89442815,-4.105571848
52,2019,4,99.9,101.8348624,1.834862385
53,2019,5,99.9,100,0
54,2019,6,102.2,102.3023023,2.302302302
55,2019,7,100.1,97.94520548,-2.054794521
56,2019,8,100.3,100.1998002,0.1998002
57,2019,9,100.7,100.3988036,0.398803589
58,2019,10,101.5,100.7944389,0.794438928
59,2019,11,103.3,101.773399,1.773399015
60,2019,12,103.4,100.0968054,0.096805421
61,2020,1,102,102,2
62,2020,2,101.08,99.09803922,-0.901960784
63,2020,3,98.69,97.63553621,-2.364463791
64,2020,4,101.54,102.8878306,2.887830581
65,2020,5,98.64,97.14398267,-2.856017333
66,2020,6,100.73,102.1188159,2.118815896
67,2020,7,100.09,99.36463814,-0.635361858
68,2020,8,100.21,100.1198921,0.119892097
69,2020,9,99.4,99.19169744,-0.808302565
70,2020,10,99.39,99.98993964,-0.010060362
71,2020,11,99.02,99.62772915,-0.372270852
72,2020,12,99.2,100.1817815,0.181781458
73,2021,1,101.36,101.36,1.36
74,2021,2,101.95,100.5820837,0.582083662
75,2021,3,97.76,95.89014223,-4.109857773
76,2021,4,99.86,102.1481178,2.14811784
77,2021,5,99.27,99.40917284,-0.590827158
78,2021,6,99.82,100.5540445,0.554044525
79,2021,7,100.48,100.6611901,0.661190142
80,2021,8,103.27,102.776672,2.776671975
81,2021,9,100.03,96.8625932,-3.137406798
82,2021,10,97.65,97.62071379,-2.379286214
83,2021,11,100.39,102.8059396,2.80593958
84,2021,12,100.52,100.129495,0.12949497
85,2022,1,99.58,99.58,-0.42
86,2022,2,101.74,102.1691103,2.169110263
87,2022,3,100.12,98.40770592,-1.592294083
88,2022,4,98.49,98.37195366,-1.628046344
89,2022,5,100.22,101.7565235,1.756523505
90,2022,6,101.36,101.1374975,1.137497505
91,2022,7,101.9,100.5327545,0.532754538
92,2022,8,100.8,98.9205103,-1.079489696
93,2022,9,100.16,99.36507937,-0.634920635
94,2022,10,100.15,99.99001597,-0.009984026
95,2022,11,99.5,99.35097354,-0.64902646
96,2022,12,99.79,100.2914573,0.291457286

