Time,Year,Month,Meals and drinking out_toDecCPI ,CPI_toPM,CPI_rate
1,2015,1,100.4,100.4,0.4
2,2015,2,100.1,99.70119522,-0.298804781
3,2015,3,101.6,101.4985015,1.498501499
4,2015,4,100.1,98.52362205,-1.476377953
5,2015,5,100.1,100,0
6,2015,6,100.3,100.1998002,0.1998002
7,2015,7,100.2,99.9002991,-0.099700897
8,2015,8,100,99.8003992,-0.199600798
9,2015,9,100,100,0
10,2015,10,100,100,0
11,2015,11,100,100,0
12,2015,12,100,100,0
13,2016,1,100,100,0
14,2016,2,100.7,100.7,0.7
15,2016,3,101.2,100.4965243,0.49652433
16,2016,4,100,98.81422925,-1.185770751
17,2016,5,100,100,0
18,2016,6,100,100,0
19,2016,7,100,100,0
20,2016,8,100,100,0
21,2016,9,100,100,0
22,2016,10,100,100,0
23,2016,11,100,100,0
24,2016,12,100,100,0
25,2017,1,100,100,0
26,2017,2,100.4,100.4,0.4
27,2017,3,99.6,99.20318725,-0.796812749
28,2017,4,100,100.4016064,0.401606426
29,2017,5,100,100,0
30,2017,6,100,100,0
31,2017,7,100,100,0
32,2017,8,100,100,0
33,2017,9,100,100,0
34,2017,10,100,100,0
35,2017,11,100,100,0
36,2017,12,100,100,0
37,2018,1,100.1,100.1,0.1
38,2018,2,101.9,101.7982018,1.798201798
39,2018,3,100,98.13542689,-1.864573111
40,2018,4,100,100,0
41,2018,5,102,102,2
42,2018,6,100,98.03921569,-1.960784314
43,2018,7,99.3,99.3,-0.7
44,2018,8,101.3,102.0140987,2.014098691
45,2018,9,100.4,99.11154985,-0.888450148
46,2018,10,100,99.60159363,-0.398406375
47,2018,11,100,100,0
48,2018,12,100.1,100.1,0.1
49,2019,1,100.7,100.7,0.7
50,2019,2,101,100.2979146,0.297914598
51,2019,3,100,99.00990099,-0.99009901
52,2019,4,100,100,0
53,2019,5,100,100,0
54,2019,6,100.1,100.1,0.1
55,2019,7,100,99.9000999,-0.0999001
56,2019,8,100,100,0
57,2019,9,100,100,0
58,2019,10,100.6,100.6,0.6
59,2019,11,100.5,99.90059642,-0.099403579
60,2019,12,105,104.4776119,4.47761194
61,2020,1,101.08,101.08,1.08
62,2020,2,100.35,99.27779976,-0.722200237
63,2020,3,100.08,99.7309417,-0.269058296
64,2020,4,101.18,101.0991207,1.099120703
65,2020,5,100.37,99.19944653,-0.800553469
66,2020,6,100.02,99.65129023,-0.348709774
67,2020,7,100,99.980004,-0.019996001
68,2020,8,100,100,0
69,2020,9,100.17,100.17,0.17
70,2020,10,100.39,100.2196266,0.219626635
71,2020,11,100.25,99.86054388,-0.139456121
72,2020,12,100.02,99.77057357,-0.229426434
73,2021,1,100.01,100.01,0.01
74,2021,2,100.18,100.169983,0.169983002
75,2021,3,99.81,99.6306648,-0.369335197
76,2021,4,100.01,100.2003807,0.200380723
77,2021,5,100.01,100,0
78,2021,6,100,99.990001,-0.009999
79,2021,7,100,100,0
80,2021,8,100,100,0
81,2021,9,100,100,0
82,2021,10,100,100,0
83,2021,11,100.02,100.02,0.02
84,2021,12,100.05,100.029994,0.029994001
85,2022,1,100.06,100.06,0.06
86,2022,2,103.28,103.2180692,3.218069159
87,2022,3,100.03,96.85321456,-3.146785438
88,2022,4,99.84,99.81005698,-0.189943017
89,2022,5,100.18,100.3405449,0.340544872
90,2022,6,100.82,100.6388501,0.63885007
91,2022,7,103.48,102.6383654,2.638365404
92,2022,8,100.86,97.46810978,-2.53189022
93,2022,9,100.31,99.45468967,-0.545310331
94,2022,10,100.15,99.84049447,-0.159505533
95,2022,11,100.17,100.01997,0.019970045
96,2022,12,100.2,100.0299491,0.029949087
,,,,,
,,,,,
,,,,,
