Time,Year,Month,Housing and construction materials_toDecCPI,CPI_toPM,CPI_rate
1,2015,1,98.8,98.8,-1.2
2,2015,2,99.4,100.6072874,0.607287449
3,2015,3,100.3,100.9054326,0.905432596
4,2015,4,101.8,101.4955135,1.49551346
5,2015,5,101.4,99.60707269,-0.392927308
6,2015,6,100.1,98.71794872,-1.282051282
7,2015,7,100.3,100.1998002,0.1998002
8,2015,8,99.5,99.20239282,-0.797607178
9,2015,9,99.3,99.79899497,-0.201005025
10,2015,10,100.1,100.8056395,0.805639476
11,2015,11,100.4,100.2997003,0.2997003
12,2015,12,100.5,100.0996016,0.099601594
13,2016,1,100.1,100.1,0.1
14,2016,2,99.4,99.3006993,-0.699300699
15,2016,3,99.9,100.5030181,0.503018109
16,2016,4,100.2,100.3003003,0.3003003
17,2016,5,100.4,100.1996008,0.199600798
18,2016,6,100.4,100,0
19,2016,7,100.4,100,0
20,2016,8,100,99.60159363,-0.398406375
21,2016,9,100,100,0
22,2016,10,100.4,100.4,0.4
23,2016,11,100.5,100.0996016,0.099601594
24,2016,12,100,99.50248756,-0.497512438
25,2017,1,100.6,100.6,0.6
26,2017,2,100.7,100.0994036,0.099403579
27,2017,3,100.3,99.60278054,-0.397219464
28,2017,4,99.4,99.10269192,-0.897308076
29,2017,5,99.5,100.1006036,0.100603622
30,2017,6,100.9,101.4070352,1.407035176
31,2017,7,100,99.10802775,-0.89197225
32,2017,8,101.4,101.4,1.4
33,2017,9,100.8,99.40828402,-0.591715976
34,2017,10,100.6,99.8015873,-0.198412698
35,2017,11,99.8,99.20477137,-0.795228628
36,2017,12,100.3,100.501002,0.501002004
37,2018,1,101.2,101.2,1.2
38,2018,2,99.9,98.71541502,-1.28458498
39,2018,3,99.8,99.8998999,-0.1001001
40,2018,4,100.7,100.9018036,0.901803607
41,2018,5,100.6,99.90069513,-0.099304866
42,2018,6,100.9,100.2982107,0.298210736
43,2018,7,100.7,99.80178394,-0.198216056
44,2018,8,100.6,99.90069513,-0.099304866
45,2018,9,100.3,99.70178926,-0.298210736
46,2018,10,100.3,100,0
47,2018,11,99.4,99.10269192,-0.897308076
48,2018,12,99.4,100,0
49,2019,1,100.6,100.6,0.6
50,2019,2,100.9,100.2982107,0.298210736
51,2019,3,100.6,99.70267592,-0.297324083
52,2019,4,102,101.3916501,1.391650099
53,2019,5,102,100,0
54,2019,6,99.7,97.74509804,-2.254901961
55,2019,7,99.8,100.1003009,0.100300903
56,2019,8,100.2,100.4008016,0.400801603
57,2019,9,100,99.8003992,-0.199600798
58,2019,10,100.7,100.7,0.7
59,2019,11,100.3,99.60278054,-0.397219464
60,2019,12,100.2,99.9002991,-0.099700897
61,2020,1,101.75,101.75,1.75
62,2020,2,99.76,98.04422604,-1.955773956
63,2020,3,99.46,99.69927827,-0.300721732
64,2020,4,97.44,97.96903278,-2.030967223
65,2020,5,100.89,103.5406404,3.540640394
66,2020,6,100.19,99.30617504,-0.693824958
67,2020,7,100.34,100.1497155,0.14971554
68,2020,8,100.86,100.518238,0.518237991
69,2020,9,100.78,99.92068213,-0.079317866
70,2020,10,99.87,99.09704306,-0.902956936
71,2020,11,100.28,100.4105337,0.410533694
72,2020,12,99.55,99.27203829,-0.727961707
73,2021,1,97.1,97.1,-2.9
74,2021,2,106.02,109.1864058,9.186405767
75,2021,3,100.35,94.65195246,-5.348047538
76,2021,4,98.48,98.13652217,-1.863477828
77,2021,5,100.35,101.8988627,1.898862713
78,2021,6,100.74,100.3886398,0.388639761
79,2021,7,102.09,101.3400834,1.340083383
80,2021,8,100.5,98.44255069,-1.557449309
81,2021,9,98.29,97.80099502,-2.199004975
82,2021,10,100.74,102.4926239,2.492623868
83,2021,11,100.3,99.56323208,-0.436767917
84,2021,12,99.25,98.95314058,-1.046859422
85,2022,1,100.14,100.14,0.14
86,2022,2,101.12,100.9786299,0.978629918
87,2022,3,101.7,100.5735759,0.573575949
88,2022,4,100.76,99.07571288,-0.924287119
89,2022,5,99.29,98.54108773,-1.458912267
90,2022,6,99.24,99.94964246,-0.050357539
91,2022,7,100.46,101.229343,1.229343007
92,2022,8,100.31,99.85068684,-0.149313159
93,2022,9,99.75,99.44173064,-0.558269365
94,2022,10,99.25,99.49874687,-0.501253133
95,2022,11,100.29,101.0478589,1.047858942
96,2022,12,100.3,100.0099711,0.009971084
,,,,,
,,,,,
,,,,,
