Time,Year,Month,Household equipment and goods_toDecCPI,CPI_toPM,CPI_rate
1,2015,1,100.1,100.1,0.1
2,2015,2,100.4,100.2997003,0.2997003
3,2015,3,100.2,99.80079681,-0.199203187
4,2015,4,100.3,100.0998004,0.099800399
5,2015,5,100.3,100,0
6,2015,6,100.1,99.80059821,-0.199401795
7,2015,7,100.4,100.2997003,0.2997003
8,2015,8,100.2,99.80079681,-0.199203187
9,2015,9,100.2,100,0
10,2015,10,100.2,100,0
11,2015,11,100.1,99.9001996,-0.099800399
12,2015,12,100.2,100.0999001,0.0999001
13,2016,1,100.1,100.1,0.1
14,2016,2,100.3,100.1998002,0.1998002
15,2016,3,100.2,99.9002991,-0.099700897
16,2016,4,100.1,99.9001996,-0.099800399
17,2016,5,100.2,100.0999001,0.0999001
18,2016,6,100.1,99.9001996,-0.099800399
19,2016,7,100.1,100,0
20,2016,8,100,99.9000999,-0.0999001
21,2016,9,100.1,100.1,0.1
22,2016,10,100,99.9000999,-0.0999001
23,2016,11,100.3,100.3,0.3
24,2016,12,100,99.70089731,-0.299102692
25,2017,1,100.2,100.2,0.2
26,2017,2,100,99.8003992,-0.199600798
27,2017,3,100,100,0
28,2017,4,100.1,100.1,0.1
29,2017,5,100.2,100.0999001,0.0999001
30,2017,6,100.1,99.9001996,-0.099800399
31,2017,7,100.1,100,0
32,2017,8,100.1,100,0
33,2017,9,100.2,100.0999001,0.0999001
34,2017,10,100.1,99.9001996,-0.099800399
35,2017,11,100.1,100,0
36,2017,12,100.2,100.0999001,0.0999001
37,2018,1,100.2,100.2,0.2
38,2018,2,100.7,100.499002,0.499001996
39,2018,3,100.2,99.50347567,-0.49652433
40,2018,4,100.4,100.1996008,0.199600798
41,2018,5,100.5,100.0996016,0.099601594
42,2018,6,99.8,99.30348259,-0.696517413
43,2018,7,100,100.2004008,0.200400802
44,2018,8,100.2,100.2,0.2
45,2018,9,100.2,100,0
46,2018,10,100.2,100,0
47,2018,11,100.2,100,0
48,2018,12,100.3,100.0998004,0.099800399
49,2019,1,100.1,100.1,0.1
50,2019,2,100.6,100.4995005,0.4995005
51,2019,3,99.9,99.30417495,-0.69582505
52,2019,4,100.2,100.3003003,0.3003003
53,2019,5,100.2,100,0
54,2019,6,100.2,100,0
55,2019,7,100,99.8003992,-0.199600798
56,2019,8,100,100,0
57,2019,9,100.3,100.3,0.3
58,2019,10,100.1,99.80059821,-0.199401795
59,2019,11,100.1,100,0
60,2019,12,100.1,100,0
61,2020,1,100.37,100.37,0.37
62,2020,2,100.1,99.73099532,-0.269004683
63,2020,3,100.1,100,0
64,2020,4,100.07,99.97002997,-0.02997003
65,2020,5,100.07,100,0
66,2020,6,100.26,100.1898671,0.189867093
67,2020,7,100.18,99.92020746,-0.079792539
68,2020,8,99.96,99.78039529,-0.219604712
69,2020,9,100.06,100.10004,0.100040016
70,2020,10,100.05,99.990006,-0.009994004
71,2020,11,99.91,99.86006997,-0.139930035
72,2020,12,100.06,100.1501351,0.150135122
73,2021,1,100.06,100.06,0.06
74,2021,2,100.04,99.98001199,-0.019988007
75,2021,3,99.95,99.91003599,-0.089964014
76,2021,4,100.14,100.190095,0.190095048
77,2021,5,100.06,99.92011184,-0.079888157
78,2021,6,100.07,100.009994,0.009994004
79,2021,7,100.04,99.97002099,-0.029979015
80,2021,8,100.05,100.009996,0.009996002
81,2021,9,99.94,99.89005497,-0.109945027
82,2021,10,100.1,100.1600961,0.160096058
83,2021,11,100.05,99.95004995,-0.04995005
84,2021,12,100.05,100,0
85,2022,1,100.07,100.07,0.07
86,2022,2,100,99.93004897,-0.069951034
87,2022,3,100.04,100.04,0.04
88,2022,4,100.1,100.059976,0.05997601
89,2022,5,100.08,99.98001998,-0.01998002
90,2022,6,100.15,100.069944,0.069944045
91,2022,7,100.56,100.4093859,0.409385921
92,2022,8,100.05,99.4928401,-0.507159905
93,2022,9,100.01,99.96001999,-0.03998001
94,2022,10,100.08,100.069993,0.069993001
95,2022,11,100.23,100.1498801,0.149880096
96,2022,12,100.17,99.94013768,-0.059862317
,,,,,
,,,,,
,,,,,
