Time,Year,Month,Transport_toDecCPI,CPI_toPM,CPI_rate
1,2015,1,96.2,96.2,-3.8
2,2015,2,96.1,99.8960499,-0.103950104
3,2015,3,100,104.0582726,4.058272633
4,2015,4,102.5,102.5,2.5
5,2015,5,101.1,98.63414634,-1.365853659
6,2015,6,103.6,102.4727992,2.472799209
7,2015,7,100.1,96.62162162,-3.378378378
8,2015,8,97.8,97.7022977,-2.297702298
9,2015,9,96.7,98.87525562,-1.124744376
10,2015,10,100.2,103.6194416,3.619441572
11,2015,11,99.6,99.4011976,-0.598802395
12,2015,12,98.6,98.99598394,-1.004016064
13,2016,1,98,98,-2
14,2016,2,96.4,98.36734694,-1.632653061
15,2016,3,97,100.6224066,0.622406639
16,2016,4,101.6,104.742268,4.742268041
17,2016,5,102.1,100.492126,0.492125984
18,2016,6,102.7,100.5876592,0.587659158
19,2016,7,101.1,98.44206426,-1.557935735
20,2016,8,98.3,97.23046489,-2.769535114
21,2016,9,100.5,102.2380468,2.238046796
22,2016,10,101.8,101.2935323,1.293532338
23,2016,11,101.5,99.70530452,-0.294695481
24,2016,12,99.2,97.73399015,-2.266009852
25,2017,1,103.4,103.4,3.4
26,2017,2,100.5,97.19535783,-2.804642166
27,2017,3,100.4,99.90049751,-0.099502488
28,2017,4,98.8,98.4063745,-1.593625498
29,2017,5,99.7,100.9109312,0.910931174
30,2017,6,99.4,99.69909729,-0.300902708
31,2017,7,98.7,99.29577465,-0.704225352
32,2017,8,101.9,103.2421479,3.242147923
33,2017,9,101.4,99.50932287,-0.490677134
34,2017,10,100.6,99.21104536,-0.788954635
35,2017,11,100.5,99.90059642,-0.099403579
36,2017,12,100.9,100.39801,0.39800995
37,2018,1,100.6,100.6,0.6
38,2018,2,100.6,100,0
39,2018,3,99.3,98.70775348,-1.292246521
40,2018,4,100.9,101.611279,1.611278953
41,2018,5,101.5,100.5946482,0.594648167
42,2018,6,101,99.50738916,-0.492610837
43,2018,7,99.2,98.21782178,-1.782178218
44,2018,8,100.3,101.108871,1.108870968
45,2018,9,100.6,100.2991027,0.299102692
46,2018,10,101.4,100.7952286,0.795228628
47,2018,11,98.3,96.94280079,-3.057199211
48,2018,12,95.6,97.25330621,-2.746693795
49,2019,1,97.1,97.1,-2.9
50,2019,2,100,102.9866117,2.98661174
51,2019,3,102.2,102.2,2.2
52,2019,4,104,101.7612524,1.761252446
53,2019,5,103,99.03846154,-0.961538462
54,2019,6,98.5,95.63106796,-4.368932039
55,2019,7,100,101.5228426,1.52284264
56,2019,8,99.6,99.6,-0.4
57,2019,9,99.2,99.59839357,-0.401606426
58,2019,10,100.7,101.5120968,1.512096774
59,2019,11,99.3,98.60973188,-1.390268123
60,2019,12,100.5,101.2084592,1.208459215
61,2020,1,100.53,100.53,0.53
62,2020,2,97.76,97.2446036,-2.755396399
63,2020,3,95.81,98.00531915,-1.994680851
64,2020,4,87.27,91.08652541,-8.913474585
65,2020,5,97.82,112.0889194,12.08891945
66,2020,6,105.3,107.646698,7.646698017
67,2020,7,103.52,98.30959164,-1.690408357
68,2020,8,100.17,96.76391036,-3.236089645
69,2020,9,99.92,99.75042428,-0.249575721
70,2020,10,99.9,99.97998399,-0.020016013
71,2020,11,99.43,99.52952953,-0.47047047
72,2020,12,102.42,103.0071407,3.007140702
73,2021,1,102.16,102.16,2.16
74,2021,2,101.24,99.09945184,-0.90054816
75,2021,3,102.36,101.1062821,1.106282102
76,2021,4,100.99,98.66158656,-1.338413443
77,2021,5,100.59,99.60392118,-0.39607882
78,2021,6,101.03,100.4374192,0.437419227
79,2021,7,102.3,101.2570524,1.257052361
80,2021,8,99.76,97.51710655,-2.482893451
81,2021,9,99.96,100.2004812,0.200481155
82,2021,10,102.54,102.5810324,2.581032413
83,2021,11,102.68,100.1365321,0.136532085
84,2021,12,98.31,95.74405921,-4.255940787
85,2022,1,101.01,101.01,1.01
86,2022,2,102.17,101.1484011,1.148401148
87,2022,3,104.52,102.3000881,2.300088088
88,2022,4,99.37,95.07271336,-4.927286644
89,2022,5,102.12,102.7674348,2.767434839
90,2022,6,103.8,101.6451234,1.645123384
91,2022,7,97.74,94.16184971,-5.838150289
92,2022,8,95.4,97.60589319,-2.394106814
93,2022,9,97.78,102.4947589,2.49475891
94,2022,10,97.94,100.1636326,0.163632645
95,2022,11,102.44,104.5946498,4.594649786
96,2022,12,97.47,95.14837954,-4.851620461
,,,,,
,,,,,
,,,,,
