Time,Year,Month,Post and communication_toDecCPI,CPI_toPM,CPI_rate
1,2015,1,100,100,0
2,2015,2,100,100,0
3,2015,3,100,100,0
4,2015,4,99.8,99.8,-0.2
5,2015,5,100,100.2004008,0.200400802
6,2015,6,100,100,0
7,2015,7,100,100,0
8,2015,8,100,100,0
9,2015,9,100,100,0
10,2015,10,100,100,0
11,2015,11,99.7,99.7,-0.3
12,2015,12,100,100.3009027,0.300902708
13,2016,1,100,100,0
14,2016,2,100,100,0
15,2016,3,100,100,0
16,2016,4,100,100,0
17,2016,5,100,100,0
18,2016,6,100,100,0
19,2016,7,99.9,99.9,-0.1
20,2016,8,100,100.1001001,0.1001001
21,2016,9,100,100,0
22,2016,10,100,100,0
23,2016,11,100,100,0
24,2016,12,100,100,0
25,2017,1,100,100,0
26,2017,2,100,100,0
27,2017,3,100,100,0
28,2017,4,100,100,0
29,2017,5,100,100,0
30,2017,6,100,100,0
31,2017,7,100,100,0
32,2017,8,100,100,0
33,2017,9,100,100,0
34,2017,10,100,100,0
35,2017,11,100,100,0
36,2017,12,100,100,0
37,2018,1,99.9,99.9,-0.1
38,2018,2,99.7,99.7997998,-0.2002002
39,2018,3,100,100.3009027,0.300902708
40,2018,4,99.5,99.5,-0.5
41,2018,5,99.5,100,0
42,2018,6,99.5,100,0
43,2018,7,100,100.5025126,0.502512563
44,2018,8,99.6,99.6,-0.4
45,2018,9,99.6,100,0
46,2018,10,99.8,100.2008032,0.200803213
47,2018,11,99.9,100.1002004,0.100200401
48,2018,12,99.9,100,0
49,2019,1,99.8,99.8,-0.2
50,2019,2,99.4,99.5991984,-0.400801603
51,2019,3,99.8,100.4024145,0.402414487
52,2019,4,99.7,99.8997996,-0.100200401
53,2019,5,99.7,100,0
54,2019,6,99.7,100,0
55,2019,7,100,100.3009027,0.300902708
56,2019,8,100,100,0
57,2019,9,100,100,0
58,2019,10,99.7,99.7,-0.3
59,2019,11,99.7,100,0
60,2019,12,99.7,100,0
61,2020,1,99.85,99.85,-0.15
62,2020,2,99.87,100.02003,0.020030045
63,2020,3,99.93,100.0600781,0.060078102
64,2020,4,99.96,100.030021,0.030021015
65,2020,5,100,100.040016,0.040016006
66,2020,6,99.95,99.95,-0.05
67,2020,7,100,100.050025,0.050025013
68,2020,8,99.93,99.93,-0.07
69,2020,9,99.8,99.86990894,-0.130091064
70,2020,10,100,100.2004008,0.200400802
71,2020,11,99.67,99.67,-0.33
72,2020,12,99.92,100.2508277,0.250827732
73,2021,1,99.85,99.85,-0.15
74,2021,2,99.99,100.1402103,0.140210315
75,2021,3,99.78,99.789979,-0.210021002
76,2021,4,100,100.2204851,0.220485067
77,2021,5,100,100,0
78,2021,6,99.97,99.97,-0.03
79,2021,7,100,100.030009,0.030009003
80,2021,8,100,100,0
81,2021,9,99.94,99.94,-0.06
82,2021,10,99.9,99.95997599,-0.040024014
83,2021,11,100,100.1001001,0.1001001
84,2021,12,99.99,99.99,-0.01
85,2022,1,100,100,0
86,2022,2,100.02,100.02,0.02
87,2022,3,100.2,100.179964,0.179964007
88,2022,4,99.66,99.46107784,-0.538922156
89,2022,5,100.01,100.3511941,0.35119406
90,2022,6,99.89,99.880012,-0.119988001
91,2022,7,99.95,100.0600661,0.060066073
92,2022,8,100,100.050025,0.050025013
93,2022,9,100,100,0
94,2022,10,100,100,0
95,2022,11,100.04,100.04,0.04
96,2022,12,100,99.96001599,-0.039984006
,,,,,
,,,,,
,,,,,
