Time,Year,Month,Culture - Sport - Entertainments_CPItoDec,CPI_toPM,CPI_rate
1,2015,1,100.1,100.1,0.1
2,2015,2,100.4,100.2997003,0.2997003
3,2015,3,100.1,99.70119522,-0.298804781
4,2015,4,100.2,100.0999001,0.0999001
5,2015,5,100.3,100.0998004,0.099800399
6,2015,6,100.2,99.9002991,-0.099700897
7,2015,7,100.1,99.9001996,-0.099800399
8,2015,8,100.1,100,0
9,2015,9,100.7,100.5994006,0.599400599
10,2015,10,100.3,99.60278054,-0.397219464
11,2015,11,100.1,99.80059821,-0.199401795
12,2015,12,100,99.9000999,-0.0999001
13,2016,1,100.1,100.1,0.1
14,2016,2,101.1,100.999001,0.999000999
15,2016,3,100.4,99.30761622,-0.692383778
16,2016,4,100.2,99.80079681,-0.199203187
17,2016,5,99.8,99.6007984,-0.399201597
18,2016,6,100.3,100.501002,0.501002004
19,2016,7,99.6,99.30209372,-0.697906281
20,2016,8,100.1,100.502008,0.502008032
21,2016,9,100.2,100.0999001,0.0999001
22,2016,10,100.1,99.9001996,-0.099800399
23,2016,11,100.1,100,0
24,2016,12,100,99.9000999,-0.0999001
25,2017,1,100.1,100.1,0.1
26,2017,2,100.1,100,0
27,2017,3,100,99.9000999,-0.0999001
28,2017,4,100.4,100.4,0.4
29,2017,5,100,99.60159363,-0.398406375
30,2017,6,100.4,100.4,0.4
31,2017,7,100,99.60159363,-0.398406375
32,2017,8,100.1,100.1,0.1
33,2017,9,100.1,100,0
34,2017,10,100.1,100,0
35,2017,11,100.1,100,0
36,2017,12,100.2,100.0999001,0.0999001
37,2018,1,100.3,100.3,0.3
38,2018,2,101,100.6979063,0.697906281
39,2018,3,100.1,99.10891089,-0.891089109
40,2018,4,99.7,99.6003996,-0.3996004
41,2018,5,100.4,100.7021063,0.702106319
42,2018,6,100.3,99.90039841,-0.099601594
43,2018,7,101.3,100.997009,0.997008973
44,2018,8,100.8,99.50641658,-0.493583416
45,2018,9,100.5,99.70238095,-0.297619048
46,2018,10,100.4,99.90049751,-0.099502488
47,2018,11,100,99.60159363,-0.398406375
48,2018,12,100.2,100.2,0.2
49,2019,1,100.8,100.8,0.8
50,2019,2,100.9,100.0992063,0.099206349
51,2019,3,99.7,98.81070367,-1.189296333
52,2019,4,99.8,100.1003009,0.100300903
53,2019,5,100.2,100.4008016,0.400801603
54,2019,6,100,99.8003992,-0.199600798
55,2019,7,100.2,100.2,0.2
56,2019,8,100,99.8003992,-0.199600798
57,2019,9,100.2,100.2,0.2
58,2019,10,100.5,100.2994012,0.299401198
59,2019,11,100.1,99.60199005,-0.39800995
60,2019,12,100.1,100,0
61,2020,1,100.27,100.27,0.27
62,2020,2,98.42,98.15498155,-1.84501845
63,2020,3,97.03,98.58768543,-1.41231457
64,2020,4,99.51,102.5559105,2.555910543
65,2020,5,100.02,100.5125113,0.512511305
66,2020,6,100.29,100.269946,0.269946011
67,2020,7,100.36,100.0697976,0.069797587
68,2020,8,99.84,99.48186528,-0.518134715
69,2020,9,99.76,99.91987179,-0.080128205
70,2020,10,99.35,99.58901363,-0.410986367
71,2020,11,99.9,100.5535984,0.55359839
72,2020,12,99.97,100.0700701,0.07007007
73,2021,1,100.04,100.04,0.04
74,2021,2,100.21,100.169932,0.169932027
75,2021,3,99.89,99.68067059,-0.319329408
76,2021,4,99.15,99.2591851,-0.740814896
77,2021,5,98.96,99.80837115,-0.191628845
78,2021,6,99.82,100.869038,0.869037995
79,2021,7,99.83,100.010018,0.010018032
80,2021,8,100.21,100.3806471,0.3806471
81,2021,9,100.18,99.97006287,-0.029937132
82,2021,10,99.97,99.79037732,-0.209622679
83,2021,11,100.4,100.430129,0.430129039
84,2021,12,100.16,99.76095618,-0.239043825
85,2022,1,100.37,100.37,0.37
86,2022,2,101.78,101.4048022,1.404802232
87,2022,3,100.08,98.32973079,-1.670269208
88,2022,4,100.62,100.5395683,0.539568345
89,2022,5,102.59,101.9578613,1.95786126
90,2022,6,102.14,99.56136076,-0.438639244
91,2022,7,100.23,98.13001762,-1.869982377
92,2022,8,100.72,100.4888756,0.488875586
93,2022,9,100.09,99.37450357,-0.625496426
94,2022,10,100.12,100.029973,0.029973024
95,2022,11,100.2,100.0799041,0.079904115
96,2022,12,100.3,100.0998004,0.099800399
,,,,,
,,,,,
,,,,,
