Time,Year,Month,Other consumer goods and services_toDec,CPI_toPM,CPI_rate
1,2015,1,100.5,100.5,0.5
2,2015,2,100.4,99.90049751,-0.099502488
3,2015,3,100.2,99.80079681,-0.199203187
4,2015,4,100.1,99.9001996,-0.099800399
5,2015,5,100.2,100.0999001,0.0999001
6,2015,6,100.1,99.9001996,-0.099800399
7,2015,7,100.2,100.0999001,0.0999001
8,2015,8,100.1,99.9001996,-0.099800399
9,2015,9,100.1,100,0
10,2015,10,100.3,100.1998002,0.1998002
11,2015,11,100.3,100,0
12,2015,12,100,99.70089731,-0.299102692
13,2016,1,100.1,100.1,0.1
14,2016,2,100.3,100.1998002,0.1998002
15,2016,3,100.1,99.80059821,-0.199401795
16,2016,4,100.1,100,0
17,2016,5,100.3,100.1998002,0.1998002
18,2016,6,100.2,99.9002991,-0.099700897
19,2016,7,100.1,99.9001996,-0.099800399
20,2016,8,100.1,100,0
21,2016,9,100.1,100,0
22,2016,10,100.1,100,0
23,2016,11,100.4,100.2997003,0.2997003
24,2016,12,100.1,99.70119522,-0.298804781
25,2017,1,100.4,100.4,0.4
26,2017,2,100.2,99.80079681,-0.199203187
27,2017,3,100.1,99.9001996,-0.099800399
28,2017,4,100.1,100,0
29,2017,5,100,99.9000999,-0.0999001
30,2017,6,100.1,100.1,0.1
31,2017,7,100.6,100.4995005,0.4995005
32,2017,8,100.1,99.50298211,-0.497017893
33,2017,9,100.1,100,0
34,2017,10,100.6,100.4995005,0.4995005
35,2017,11,100.2,99.60238569,-0.397614314
36,2017,12,100.4,100.1996008,0.199600798
37,2018,1,100.4,100.4,0.4
38,2018,2,100.7,100.2988048,0.298804781
39,2018,3,100.1,99.4041708,-0.595829196
40,2018,4,99.2,99.1008991,-0.899100899
41,2018,5,100.3,101.108871,1.108870968
42,2018,6,100,99.70089731,-0.299102692
43,2018,7,99.7,99.7,-0.3
44,2018,8,100.4,100.7021063,0.702106319
45,2018,9,100.4,100,0
46,2018,10,100.1,99.70119522,-0.298804781
47,2018,11,100.3,100.1998002,0.1998002
48,2018,12,100.2,99.9002991,-0.099700897
49,2019,1,100.2,100.2,0.2
50,2019,2,100.3,100.0998004,0.099800399
51,2019,3,100.1,99.80059821,-0.199401795
52,2019,4,100.1,100,0
53,2019,5,100.1,100,0
54,2019,6,100.4,100.2997003,0.2997003
55,2019,7,100.7,100.2988048,0.298804781
56,2019,8,100.1,99.4041708,-0.595829196
57,2019,9,100.1,100,0
58,2019,10,100.2,100.0999001,0.0999001
59,2019,11,100,99.8003992,-0.199600798
60,2019,12,100.1,100.1,0.1
61,2020,1,100.84,100.84,0.84
62,2020,2,100.1,99.26616422,-0.733835779
63,2020,3,99.75,99.65034965,-0.34965035
64,2020,4,99.63,99.87969925,-0.120300752
65,2020,5,100.04,100.4115226,0.411522634
66,2020,6,100.44,100.3998401,0.399840064
67,2020,7,100.12,99.68140183,-0.318598168
68,2020,8,100.14,100.019976,0.019976029
69,2020,9,99.83,99.69043339,-0.309566607
70,2020,10,100.05,100.2203746,0.220374637
71,2020,11,100.09,100.03998,0.03998001
72,2020,12,100.04,99.95004496,-0.04995504
73,2021,1,100.07,100.07,0.07
74,2021,2,100.11,100.039972,0.03997202
75,2021,3,99.81,99.70032964,-0.299670363
76,2021,4,100.2,100.3907424,0.390742411
77,2021,5,100.03,99.83033932,-0.169660679
78,2021,6,100.03,100,0
79,2021,7,99.95,99.92002399,-0.079976007
80,2021,8,100.02,100.070035,0.070035018
81,2021,9,99.98,99.960008,-0.039992002
82,2021,10,99.99,100.010002,0.010002
83,2021,11,100.55,100.560056,0.560056006
84,2021,12,100.21,99.66185977,-0.338140229
85,2022,1,100.1,100.1,0.1
86,2022,2,100.09,99.99000999,-0.00999001
87,2022,3,100.76,100.6693975,0.669397542
88,2022,4,100.15,99.39460103,-0.605398968
89,2022,5,100.19,100.0399401,0.03994009
90,2022,6,100.34,100.1497155,0.14971554
91,2022,7,100.2,99.86047439,-0.139525613
92,2022,8,100.05,99.8502994,-0.149700599
93,2022,9,100.06,100.009995,0.009995002
94,2022,10,100.28,100.2198681,0.219868079
95,2022,11,100.05,99.7706422,-0.229357798
96,2022,12,100.12,100.069965,0.069965017
,,,,,
,,,,,
,,,,,
