Time,Year,Month,Consumer price index ,CPI_next,CPI_rate
1,2015,1,98.8,98.8,-1.2
2,2015,2,99.3,100.506073,0.506073
3,2015,3,100.4,101.107754,1.107754
4,2015,4,100.2,99.800797,-0.199203
5,2015,5,100.1,99.9002,-0.0998
6,2015,6,100.1,100,0.000001
7,2015,7,100.2,100.0999,0.0999
8,2015,8,100.2,100,0.000001
9,2015,9,99.9,99.700599,-0.299401
10,2015,10,100.1,100.2002,0.2002
11,2015,11,100,99.9001,-0.0999
12,2015,12,100,100,0.000001
13,2016,1,100.1,100.1,0.1
14,2016,2,100.5,100.3996,0.3996
15,2016,3,100.7,100.199005,0.199005
16,2016,4,100.3,99.602781,-0.397219
17,2016,5,100.4,100.099701,0.099701
18,2016,6,100.4,100,0.000001
19,2016,7,100.1,99.701195,-0.298805
20,2016,8,99.8,99.7003,-0.2997
21,2016,9,100.8,101.002004,1.002004
22,2016,10,101.8,100.992064,0.992063
23,2016,11,100.5,98.722986,-1.277014
24,2016,12,99.9,99.402985,-0.597015
25,2017,1,100.3,100.3,0.3
26,2017,2,100.1,99.800598,-0.199402
27,2017,3,99.9,99.8002,-0.1998
28,2017,4,99.7,99.7998,-0.2002
29,2017,5,99.2,99.498495,-0.501505
30,2017,6,99.7,100.504032,0.504032
31,2017,7,100.2,100.501505,0.501505
32,2017,8,101.3,101.097804,1.097804
33,2017,9,100.7,99.4077,-0.5923
34,2017,10,100.3,99.602781,-0.397219
35,2017,11,99.8,99.501496,-0.498504
36,2017,12,100,100.200401,0.200401
37,2018,1,100.9,100.9,0.9
38,2018,2,100.9,100,0.000001
39,2018,3,99.8,98.909812,-1.090188
40,2018,4,99.9,100.1002,0.1002
41,2018,5,100.7,100.800801,0.800801
42,2018,6,100.7,100,0.000001
43,2018,7,100.2,99.503476,-0.496524
44,2018,8,100.7,100.499002,0.499002
45,2018,9,101.1,100.39722,0.397219
46,2018,10,100.2,99.109792,-0.890208
47,2018,11,99.7,99.500998,-0.499002
48,2018,12,99.7,100, 0 
49,2019,1,100.2,100.2,0.2
50,2019,2,100.9,100.698603,0.698603
51,2019,3,99.9,99.00892,-0.99108
52,2019,4,100.2,100.3003,0.3003
53,2019,5,100.7,100.499002,0.499002
54,2019,6,100.3,99.602781,-0.397219
55,2019,7,100,99.700897,-0.299103
56,2019,8,100.3,100.3,0.3
57,2019,9,100.1,99.800598,-0.199402
58,2019,10,100.6,100.499501,0.4995
59,2019,11,100.8,100.198807,0.198807
60,2019,12,101.2,100.396825,0.396825
61,2020,1,101.07,101.07,1.07
62,2020,2,99.93,98.872069,-1.127931
63,2020,3,99.11,99.179426,-0.820574
64,2020,4,98.6,99.48542,-0.51458
65,2020,5,99.75,101.166329,1.166329
66,2020,6,100.69,100.942356,0.942356
67,2020,7,100.44,99.751713,-0.248287
68,2020,8,100.25,99.810832,-0.189168
69,2020,9,100.2,99.950125,-0.049875
70,2020,10,99.88,99.680639,-0.319361
71,2020,11,99.81,99.929916,-0.070084
72,2020,12,99.98,100.170324,0.170324
73,2021,1,99.94,99.94,-0.06
74,2021,2,101.8,101.861117,1.861117
75,2021,3,99.79,98.02554,-1.97446
76,2021,4,99.74,99.949895,-0.050105
77,2021,5,99.94,100.200521,0.200521
78,2021,6,100.2,100.260156,0.260156
79,2021,7,100.73,100.528942,0.528942
80,2021,8,100.77,100.03971,0.03971
81,2021,9,99.4,98.640468,-1.359532
82,2021,10,99.97,100.573441,0.573441
83,2021,11,100.47,100.50015,0.50015
84,2021,12,99.79,99.323181,-0.676819
85,2022,1,100.1,100.1,0.1
86,2022,2,101.16,101.058941,1.058941
87,2022,3,100.91,99.752867,-0.247133
88,2022,4,99.95,99.048657,-0.951343
89,2022,5,100.3,100.350175,0.350175
90,2022,6,100.7,100.398804,0.398804
91,2022,7,100.61,99.910626,-0.089374
92,2022,8,99.9,99.294305,-0.705695
93,2022,9,100.54,100.640641,0.640641
94,2022,10,99.27,98.736821,-1.263179
95,2022,11,99.54,100.271986,0.271985
96,2022,12,99.85,100.311433,0.311433
