Year,CO2 ,GDP ,TO,FDI
1990,19330,96.71929574,0.813156979,2.78132276
1991,19800,140.6310045,0.669469524,3.9027968
1992,20810,141.3836852,0.735768851,4.803347775
1993,24240,185.187122,0.662122672,7.027592564
1994,26680,224.6370945,0.774731979,11.93948283
1995,31400,281.1336045,0.747212659,8.585965855
1996,35030,329.00119,0.927057468,9.713080637
1997,40840,352.9344398,0.943444841,8.270096758
1998,45470,352.783068,0.970012485,6.141214403
1999,46410,367.1568837,1.027874066,4.922663457
2000,51210,394.5831366,1.114170944,4.16392408
2001,56720,409.497733,1.11955938,3.977335462
2002,66500,434.8102921,1.166968687,3.992687051
2003,70900.00153,485.4509091,1.243279544,3.666012292
2004,85050.00305,551.9035051,1.330164979,3.544081073
2005,92370.00275,693.1898411,1.30714846,3.390403646
2006,94870.00275,790.5925164,1.383136219,3.616000904
2007,105139.9994,913.3123316,1.54605384,8.654717714
2008,117589.9963,1158.101627,1.543174796,9.663039055
2009,132289.9933,1225.845012,1.347063177,7.168819875
2010,151410.0037,1684.011664,1.139776951,5.43473964
2011,155970.0012,1953.556979,1.252605893,4.304874726
2012,155520.0043,2190.232284,1.232241255,4.278323181
2013,164300.0031,2367.499539,1.308463436,4.164544807
2014,180869.9951,2558.778924,1.354105118,3.940861635
2015,220649.9939,2595.234979,1.449142203,4.931907477
2016,223720.0012,2760.717105,1.454095071,4.900893022
2017,230449.9969,2992.071742,1.60980072,5.011486867
2018,285600.0061,3267.225009,1.646639398,4.998283289
2019,336489.9902,3491.091274,1.647042207,4.821075049
2020,,3586.347302,1.632458574,4.558361808
2021,,3756.489121,1.864681832,4.277080639
,,,,
,,,,
,,,,
,,,,
,,,,
